MVG
('norm', 7), ((0.3776508972267537, 0.29364860257319947), 0.38091353996737354)
('norm', 8), ((0.3800978792822186, 0.3029130124568127), 0.38825448613376834)
('norm', 5), ((0.3841761827079935, 0.28670025767213336), 0.4110929853181077)
('raw', 6), ((0.39804241435562804, -0.20549087544154065), 0.4086460032626428)
('raw', 5), ((0.4192495921696574, -0.10785940183572318), 0.4257748776508973)
('norm', 4), ((0.4290375203915171, 0.43841257239719783), 0.44453507340946163)
('norm', 3), ((0.46900489396411094, 0.14578169502717664), 0.4755301794453507)
('norm', 2), ((0.5791190864600326, 0.23238257097735293), 0.6076672104404568)
('raw', 4), ((0.6011419249592169, 0.16340280754744896), 0.6272430668841762)
('raw', 3), ((0.7822185970636215, -0.02334765853883347), 0.802610114192496)
('raw', 2), ((0.8099510603588906, -0.060038650458812626), 0.8621533442088092)
('raw', 1), ((0.8262642740619902, -0.1449154027457905), 0.9698205546492659)
('norm', 1), ((0.901305057096248, -0.007583124879243064), 0.9836867862969005)

Tied Naive
('norm', 9), ((0.3360522022838499, -0.009407286213903632), 0.33931484502446985)
('norm', 10), ((0.3360522022838499, -0.008182792466619904), 0.33931484502446985)
('norm', 11), ((0.3384991843393148, -0.07014890692936515), 0.3425774877650897)
('raw', 11), ((0.33931484502446985, -0.1837910593338039), 0.3556280587275693)
('raw', 9), ((0.3474714518760196, -0.15456779568080858), 0.3539967373572594)
('raw', 10), ((0.34910277324632955, -0.14975778877609258), 0.3556280587275693)
('norm', 6), ((0.3621533442088092, 0.17527269346246854), 0.39559543230016314)
('raw', 8), ((0.3735725938009788, -0.1773963056400003), 0.3833605220228385)
('raw', 7), ((0.37928221859706357, -0.22690451778169218), 0.38499184339314846)
('norm', 8), ((0.3792822185970636, -0.031180413527723272), 0.3841761827079935)
('norm', 7), ((0.38091353996737354, 0.18114910671267204), 0.3825448613376835)
('norm', 5), ((0.38580750407830344, 0.1487336104310284), 0.40538336052202284)
('raw', 6), ((0.3931484502446982, -0.0756736802633462), 0.398858075040783)
('raw', 5), ((0.4200652528548124, -0.15314948910948434), 0.43882544861337686)
('norm', 4), ((0.42985318107667214, 0.17912048441587725), 0.4461663947797716)
('norm', 3), ((0.46900489396411094, 0.1520167884210819), 0.47960848287112556)
('norm', 2), ((0.5799347471451877, 0.44921496244938247), 0.6035889070146818)
('raw', 4), ((0.598694942903752, 0.11463375131323172), 0.6247960848287113)
('raw', 3), ((0.7846655791190864, -0.00707847355769442), 0.7879282218597063)
('raw', 1), ((0.8107667210440457, -0.18088180778831742), 0.964110929853181)
('raw', 2), ((0.8140293637846655, -0.05244395596903029), 0.8531810766721044)
('norm', 1), ((0.9298531810766721, -0.0013697710008095942), 0.9763458401305057)
